node,name,rw_betweenness
720575940609427246,FB.34,0.00889
720575940621501720,FB.118,0.008886
720575940615833055,FB.26,0.008867
720575940623317321,FB.55,0.008805
720575940640228661,FB.72,0.008796
720575940627400776,FB.128,0.008654
720575940633013412,FB.104,0.008563
720575940632825913,FB.77,0.008474
720575940651284726,FB.103,0.008447
720575940636588724,FB.96,0.008278
720575940623260201,FB.41,0.008278
720575940611415449,FB.124,0.008232
720575940624905404,FB.140,0.008224
720575940639710883,FB.176,0.008052
720575940643338020,FB.94,0.008005
720575940639961653,AOTU.FB.54,0.007997
720575940637238505,FB.123,0.007993
720575940619715568,FB.122,0.00792
720575940626140420,SMP.FB.2,0.007876
720575940635095452,FB.143,0.007847
720575940625698279,FB.54,0.007829
720575940634534255,FB.189,0.007816
720575940627768698,FB.133,0.007713
720575940638328765,FB.150,0.007669
720575940628120402,FB.151,0.007591
720575940645255476,FB.323,0.007537
720575940627786270,FB.163,0.007446
720575940634647732,FB.185,0.007431
720575940616956673,FB.219,0.00741
720575940616097093,FB.155,0.007407
720575940630671953,FB.161,0.007307
720575940652083190,FB.426,0.007305
720575940617225565,FB.100,0.007246
720575940632803223,FB.233,0.007241
720575940613982514,FB.120,0.007234
720575940632732985,FB.58,0.007198
720575940631413156,FB.242,0.007173
720575940620327412,FB.153,0.007158
720575940642936100,FB.177,0.007119
720575940629076473,FB.134,0.007002
720575940622651656,FB.396,0.006863
720575940635530359,FB.214,0.006858
720575940643703588,FB.198,0.006823
720575940650420726,FB.174,0.00679
720575940628165019,FB.137,0.006734
720575940627807994,FB.112,0.006714
720575940627033875,FB.375,0.006686
720575940619574181,FB.251,0.006685
720575940628104061,FB.449,0.006679
720575940623807672,FB.85,0.006678
720575940624754981,FB.LAL.5,0.00665
720575940608140380,FB.49,0.006643
720575940614154786,FB.223,0.006616
720575940630976568,FB.190,0.006614
720575940642476448,FB.125,0.006591
720575940623490748,FB.168,0.006581
720575940633442468,FB.MB_ML.5,0.006579
720575940613052200,FB.44,0.006563
720575940634280288,FB.79,0.006523
720575940626612254,FB.86,0.00651
720575940630840493,FB.43,0.006496
720575940610069550,FB.329,0.006469
720575940635640974,FB.232,0.006435
720575940610219715,FB.305,0.00642
720575940627162344,FB.216,0.006381
720575940630980409,SMP.FB.3,0.006331
720575940625902823,FB.268,0.006319
720575940630021115,FB.249,0.006223
720575940638250112,FB.236,0.006194
720575940620014356,FB.164,0.006138
720575940625142936,FB.162,0.006115
720575940640039040,FB.40,0.006102
720575940624215245,FB.260,0.005946
720575940636345707,FB.278,0.005944
720575940604451505,FB.32,0.005898
720575940620028795,FB.MB_ML.4,0.00589
720575940643937316,FB.195,0.005818
720575940619935152,FB.239,0.005782
720575940636938212,FB.199,0.005764
720575940622406260,FB.266,0.005701
720575940631725011,FB.229,0.00569
720575940613268370,FB.160,0.005665
720575940625787536,FB.35,0.005664
720575940623358099,FB.53,0.005617
720575940628377856,FB.MB_ML.1,0.005529
720575940622156148,FB.MB_ML.3,0.005492
720575940615463825,FB.298,0.005453
720575940646135940,SLP.FB.2,0.005437
720575940611181518,FB.MB_ML.9,0.005437
720575940636229183,FB.241,0.005414
720575940608370866,FB.243,0.005395
720575940623217132,FB.300,0.005394
720575940620197441,FB.360,0.00539
720575940622870666,FB.307,0.005386
720575940620014203,FB.MB_ML.2,0.005371
720575940635678942,FB.192,0.005364
720575940629909199,FB.121,0.005342
720575940617494232,FB.265,0.005257
720575940625579141,FB.204,0.005246
720575940634076115,FB.709,0.005239
720575940606483657,SLP.FB.4,0.005234
720575940621515391,FB.MB_ML.6,0.005226
720575940641173376,FB.403,0.005181
720575940612869269,EB.7,0.005175
720575940619200960,FB.208,0.005174
720575940619584421,FB.347,0.005168
720575940629468739,FB.317,0.005153
720575940621846783,FB.485,0.005146
720575940638709632,FB.299,0.005122
720575940622811116,FB.258,0.005115
720575940622815123,FB.420,0.005089
720575940628907524,FB.255,0.005078
720575940644658542,FB.390,0.00507
