Id,Label,cell_class,name,nt_type,primary_type,side,super_class
720575940610623402,FB.1086,CX,FB.1086,ACH,vDeltaK,left,central
720575940627269562,FB.906,CX,FB.906,unknown,vDeltaI_b,left,central
720575940638328765,FB.150,CX,FB.150,ACH,hDeltaM,left,central
720575940634036159,NO.63,CX,NO.63,ACH,PFNm,left,central
720575940631824332,FB.505,CX,FB.505,unknown,FB5B,left,central
720575940631119827,FB.276,CX,FB.276,GLUT,FB5Q,left,central
720575940628809687,SMP.FB.6,CX,SMP.FB.6,GLUT,FB7A,left,central
720575940618651608,FB.614,CX,FB.614,ACH,vDeltaI_a,right,central
720575940635887593,FB.951,CX,FB.951,unknown,vDeltaC,right,central
720575940627777527,FB.623,CX,FB.623,GLUT,FB8A,left,central
720575940628088823,FB.1195,CX,FB.1195,ACH,vDeltaA_a,left,central
720575940628858873,FB.SMP.64,CX,FB.SMP.64,ACH,FS4A,right,central
720575940628695034,FB.1150,CX,FB.1150,unknown,vDeltaI_b,left,central
720575940619913221,FB.69,CX,FB.69,ACH,hDeltaH,right,central
720575940626302982,FB.987,CX,FB.987,unknown,vDeltaB,left,central
720575940612327446,FB.875,CX,FB.875,ACH,vDeltaD,left,central
720575940621355034,FB.605,CX,FB.605,unknown,FB4Z,right,central
720575940620191777,FB.690,CX,FB.690,ACH,vDeltaF,left,central
720575940627400776,FB.128,CX,FB.128,GLUT,PFR,left,central
720575940630792275,FB.1189,CX,FB.1189,ACH,vDeltaA_a,right,central
720575940636395610,EB.195,CX,EB.195,GABA,ER2,left,central
720575940622125153,FB.455,CX,FB.455,GLUT,FB5R,left,central
720575940621289571,NO.FB.121,CX,NO.FB.121,unknown,PFNp,left,central
720575940636313701,FB.93,CX,FB.93,ACH,hDeltaL,left,central
720575940603676774,FB.1361,CX,FB.1361,ACH,vDeltaM,right,central
720575940626778217,FB.790,CX,FB.790,ACH,FS2,right,central
720575940639410291,FB.15,CX,FB.15,GLUT,FB4N,right,central
720575940649126009,FB.835,CX,FB.835,ACH,vDeltaF,right,central
720575940639590528,NO.FB.26,CX,NO.FB.26,ACH,PFNd,left,central
720575940628105353,FB.1288,CX,FB.1288,SER,FB4K,left,central
720575940630268044,FB.1190,CX,FB.1190,ACH,vDeltaK,right,central
720575940635412622,NO.FB.43,CX,NO.FB.43,ACH,PFNm,right,central
720575940622846099,FB.847,CX,FB.847,ACH,vDeltaE,left,central
720575940613490841,FB.131,CX,FB.131,ACH,hDeltaB,left,central
720575940619126950,FB.692,CX,FB.692,ACH,vDeltaF,right,central
720575940612589735,NO.87,CX,NO.87,ACH,PFNv,right,central
720575940603676844,FB.213,CX,FB.213,GLUT,FB7L,left,central
720575940640164029,FB.775,CX,FB.775,ACH,vDeltaF,right,central
720575940628940994,SMP.FB.24,CX,SMP.FB.24,GLUT,FB5G,right,central
720575940612131025,FB.960,CX,FB.960,SER,vDeltaB,right,central
720575940632742099,EB.FB.4,CX,EB.FB.4,GLUT,ExR5,right,central
720575940635969758,FB.101,CX,FB.101,ACH,hDeltaF,right,central
720575940636969182,FB.683,CX,FB.683,SER,hDeltaK,left,central
